data_inversa;dia_semana;br;km;causa_acidente;tipo_acidente;fase_dia;condicao_metereologica;mortos;ilesos;feridos
2008-11-23;Domingo;174;7.9;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;2;0
2008-08-12;Segunda;174;4.0;Outras;Saída de Pista;pleno dia;chuva;0;3;0
2008-09-12;Terça;319;1.0;Outras;Colisão lateral;pleno dia;ceu claro;0;2;0
2008-12-15;Segunda;174;18.1;Outras;Colisão com objeto móvel;plena noite;chuva;0;2;1
2008-12-16;Terça;174;40.2;Outras;Colisão traseira;anoitecer;chuva;0;2;0
2008-12-18;Quinta;174;50.3;Outras;Saída de Pista;plena noite;chuva;0;2;0
2008-12-20;Sábado;319;0.5;Não guardar distância de segurança;Colisão traseira;pleno dia;ceu claro;0;2;0
2008-12-22;Segunda;174;39.7;Animais na Pista;Saída de Pista;plena noite;ceu claro;0;5;0
2008-12-23;Terça;174;4.6;Outras;Tombamento;pleno dia;nublado;0;2;0
2008-12-25;Quinta;174;39.0;Falta de atenção;Saída de Pista;pleno dia;ceu claro;0;0;2
2008-12-27;Sábado;174;11.9;Falta de atenção;Colisão frontal;pleno dia;chuva;0;2;0
2008-12-30;Terça;174;84.1;Outras;Capotamento;pleno dia;ceu claro;0;3;2
2008-12-31;Quarta;174;25.8;Falta de atenção;Saída de Pista;pleno dia;chuva;0;1;0
2008-12-19;Sexta;319;0.9;Falta de atenção;Colisão com objeto fixo;pleno dia;sol;0;2;0
2009-02-01;Sexta;174;47.3;Outras;Saída de Pista;pleno dia;ceu claro;0;4;1
2009-04-01;Domingo;319;1.0;Outras;Colisão com objeto fixo;pleno dia;sol;0;2;0
2009-04-01;Domingo;174;10.0;Não guardar distância de segurança;Colisão traseira;pleno dia;nublado;0;4;0
2009-05-01;Segunda;174;73.8;Outras;Atropelamento de pessoa;plena noite;ceu claro;1;0;0
2009-11-01;Domingo;174;123.5;Defeito na via;Saída de Pista;pleno dia;ceu claro;0;1;1
2009-01-13;Terça;174;43.0;Falta de atenção;Saída de Pista;amanhecer;nublado;0;2;0
2009-01-25;Domingo;319;13.0;Falta de atenção;Colisão frontal;pleno dia;ceu claro;0;3;0
2009-01-24;Sábado;174;19.0;Falta de atenção;Colisão traseira;pleno dia;chuva;0;2;2
2009-01-28;Quarta;174;4.0;Defeito mecânico em veículo;Colisão traseira;pleno dia;nublado;0;6;0
2009-06-02;Sexta;174;71.0;Animais na Pista;Atropelamento de animal;plena noite;ceu claro;0;2;0
2009-01-31;Sábado;174;33.5;Ultrapassagem indevida;Colisão frontal;pleno dia;chuva;0;4;0
2009-02-22;Domingo;174;5.8;Outras;Saída de Pista;pleno dia;nublado;0;0;1
2009-02-21;Sábado;174;10.0;Falta de atenção;Colisão frontal;plena noite;ignorado;0;3;3
2009-02-21;Sábado;174;25.8;Outras;Saída de Pista;pleno dia;chuva;0;6;1
2009-02-24;Terça;174;27.9;Outras;Saída de Pista;plena noite;chuva;0;0;2
2009-04-03;Quarta;174;19.0;Defeito na via;Colisão traseira;pleno dia;ceu claro;0;2;0
2009-03-19;Quinta;319;1.0;Falta de atenção;Colisão lateral;pleno dia;ceu claro;0;2;0
2009-03-22;Domingo;319;1.0;Outras;Colisão traseira;pleno dia;ceu claro;0;2;0
2009-03-21;Sábado;174;3.7;Falta de atenção;Colisão lateral;pleno dia;chuva;0;2;0
2009-03-23;Segunda;174;80.8;Falta de atenção;Saída de Pista;pleno dia;ceu claro;0;0;1
2009-05-04;Domingo;174;84.0;Falta de atenção;Saída de Pista;plena noite;ceu claro;0;0;1
2009-08-04;Quarta;174;1.9;Outras;Colisão traseira;pleno dia;ceu claro;0;1;1
2009-11-04;Sábado;174;42.0;Velocidade incompatível;Capotamento;pleno dia;chuva;0;1;2
2009-11-04;Sábado;174;58.0;Defeito mecânico em veículo;Saída de Pista;plena noite;chuva;0;2;0
2009-11-04;Sábado;174;42.0;Falta de atenção;Saída de Pista;pleno dia;chuva;0;1;0
2009-11-04;Sábado;174;61.7;Não guardar distância de segurança;Colisão traseira;pleno dia;chuva;0;2;0
2009-09-04;Quinta;174;53.2;Falta de atenção;Capotamento;pleno dia;ceu claro;0;0;1
2009-04-16;Quinta;174;8.0;Velocidade incompatível;Saída de Pista;pleno dia;chuva;0;0;2
2009-12-04;Domingo;174;18.7;Falta de atenção;Atropelamento de pessoa;pleno dia;nublado;0;4;1
2009-04-17;Sexta;174;33.0;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;5;0
